name,symbol,description,parcellation_term_set_label,parcellation_terminology_label,parcellation_term_identifier,parcellation_term_order,parcellation_parent_term_set_label,parcellation_parent_term_identifier
VZ in extrastriate cortex,oVZexs,VZ in extrastriate cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13179,593,ADHBA_Terminology_2016_All,DHBA:10544
VZ in dorsomedial extrastriate cortex (V2),oVZdm,VZ in dorsomedial extrastriate cortex (V2),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11995,594,ADHBA_Terminology_2016_All,DHBA:13179
VZ in ventromedial extrastriate cortex (VP),oVZvm,VZ in ventromedial extrastriate cortex (VP),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11996,595,ADHBA_Terminology_2016_All,DHBA:13179
VZ in midlateral extrastriate cortex (area 19),oVZml,VZ in midlateral extrastriate cortex (area 19),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:11997,596,ADHBA_Terminology_2016_All,DHBA:13179
VZ in cingulate neocortex,cVZ,VZ in cingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12010,597,ADHBA_Terminology_2016_All,DHBA:10542
VZ in rostral cingulate neocortex,cVZr,VZ in rostral cingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12011,598,ADHBA_Terminology_2016_All,DHBA:12010
VZ in midcingulate neocortex,cVZmi,VZ in midcingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12012,599,ADHBA_Terminology_2016_All,DHBA:12010
VZ in caudal cingulate neocortex,cVZc,VZ in caudal cingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12013,600,ADHBA_Terminology_2016_All,DHBA:12010
VZ in subgenual cingulate neocortex,cVZsg,VZ in subgenual cingulate neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12014,601,ADHBA_Terminology_2016_All,DHBA:12010
VZ in periallocortex,peVZ,VZ in periallocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10548,602,ADHBA_Terminology_2016_All,DHBA:10542
VZ in perirhinal cortex,VZpc,VZ in perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12019,603,ADHBA_Terminology_2016_All,DHBA:10548
VZ in rostral perirhinal cortex,VZpcr,VZ in rostral perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13196,604,ADHBA_Terminology_2016_All,DHBA:12019
VZ in caudal perirhinal cortex,VZpcc,VZ in caudal perirhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13197,605,ADHBA_Terminology_2016_All,DHBA:12019
VZ in entorhinal cortex,VZEC,VZ in entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13192,606,ADHBA_Terminology_2016_All,DHBA:10548
VZ in medial (posterior) entorhinal cortex,VZmec,VZ in medial (posterior) entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13193,607,ADHBA_Terminology_2016_All,DHBA:13192
VZ in caudal entorhinal cortex,VZec,VZ in caudal entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12018,608,ADHBA_Terminology_2016_All,DHBA:13193
VZ in lateral (anterior) entorhinal cortex,VZlec,VZ in lateral (anterior) entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13194,609,ADHBA_Terminology_2016_All,DHBA:13192
VZ in rostral entorhinal cortex,VZer,VZ in rostral entorhinal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13195,610,ADHBA_Terminology_2016_All,DHBA:13194
VZ in presubicular cortex,VZprs,VZ in presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12017,611,ADHBA_Terminology_2016_All,DHBA:10548
VZ in rostral presubicular cortex,VZprsr,VZ in rostral presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13190,612,ADHBA_Terminology_2016_All,DHBA:12017
VZ in caudal presubicular cortex,VZprsc,VZ in caudal presubicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13191,613,ADHBA_Terminology_2016_All,DHBA:12017
VZ in retrosplenial cortex,VZrs,VZ in retrosplenial cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12020,614,ADHBA_Terminology_2016_All,DHBA:10548
VZ in allocortex,alVZ,VZ in allocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10547,615,ADHBA_Terminology_2016_All,DHBA:10542
VZ in hippocampal proper,VZhip,VZ in hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12015,616,ADHBA_Terminology_2016_All,DHBA:10547
VZ in rostal hippocampal proper,VZhipr,VZ in rostal hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13186,617,ADHBA_Terminology_2016_All,DHBA:12015
VZ in caudal hippocampal proper,VZhipc,VZ in caudal hippocampal proper,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13187,618,ADHBA_Terminology_2016_All,DHBA:12015
VZ in subicular cortex,VZsub,VZ in subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:12016,619,ADHBA_Terminology_2016_All,DHBA:10547
VZ in rostral subicular cortex,VZsubr,VZ in rostral subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13188,620,ADHBA_Terminology_2016_All,DHBA:12016
VZ in caudal subicular cortex,VZsubc,VZ in caudal subicular cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13189,621,ADHBA_Terminology_2016_All,DHBA:12016
Ganglionic eminence (VZ in basal nuclei),GE,Ganglionic eminence (VZ in basal nuclei),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10549,622,ADHBA_Terminology_2016_All,DHBA:10542
LGE-VZ border region,LGEVZ,LGE-VZ border region,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13305,623,ADHBA_Terminology_2016_All,DHBA:10549
lateral ganglionic eminence,LGE,lateral ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10551,624,ADHBA_Terminology_2016_All,DHBA:10549
outer portion of lateral ganglionic eminence,LGEo,outer portion of lateral ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13306,625,ADHBA_Terminology_2016_All,DHBA:10551
inner portion of lateral ganglionic eminence,LGEi,inner portion of lateral ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13307,626,ADHBA_Terminology_2016_All,DHBA:10551
MGE-Lateral region,LMGE,MGE-Lateral region,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13308,627,ADHBA_Terminology_2016_All,DHBA:10549
medial ganglionic eminence,MGE,medial ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10550,628,ADHBA_Terminology_2016_All,DHBA:10549
outer portion of medial ganglionic eminence,MGEo,outer portion of medial ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13309,629,ADHBA_Terminology_2016_All,DHBA:10550
inner portion of medial ganglionic eminence,MGEi,inner portion of medial ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13310,630,ADHBA_Terminology_2016_All,DHBA:10550
caudal ganglionic eminence,CGE,caudal ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10552,631,ADHBA_Terminology_2016_All,DHBA:10549
outer portion of caudal ganglionic eminence,CGEo,outer portion of caudal ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13311,632,ADHBA_Terminology_2016_All,DHBA:10552
inner portion of caudal ganglionic eminence,CGEi,inner portion of caudal ganglionic eminence,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13312,633,ADHBA_Terminology_2016_All,DHBA:10552
VZ in septal region,seVZ,VZ in septal region,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13313,634,ADHBA_Terminology_2016_All,DHBA:10542
VZ in subcallosal region,scVZ,VZ in subcallosal region,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13314,635,ADHBA_Terminology_2016_All,DHBA:10542
VZ in postamygdaloid region,paVZ,VZ in postamygdaloid region,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10553,636,ADHBA_Terminology_2016_All,DHBA:10542
VZ in thalamic region,thVZ,VZ in thalamic region,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10554,637,ADHBA_Terminology_2016_All,DHBA:10542
VZ in hypothalamic portion,hyVZ,VZ in hypothalamic portion,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10555,638,ADHBA_Terminology_2016_All,DHBA:10542
rostral migratory stream,RMS,rostral migratory stream,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10556,639,ADHBA_Terminology_2016_All,DHBA:10542
vertical portion of rostral migratory stream,RMSv,vertical portion of rostral migratory stream,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13198,640,ADHBA_Terminology_2016_All,DHBA:10556
VZ part of RMSv,RMSvv,VZ part of RMSv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13315,641,ADHBA_Terminology_2016_All,DHBA:13198
GE part of RMSv,RMSvg,GE part of RMSv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13316,642,ADHBA_Terminology_2016_All,DHBA:13198
SZ part of RMSv,RMSvs,SZ part of RMSv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13317,643,ADHBA_Terminology_2016_All,DHBA:13198
horizontal portion of rostral migratory stream,RMSh,horizontal portion of rostral migratory stream,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13199,644,ADHBA_Terminology_2016_All,DHBA:10556
VZ part of RMSh,RMShv,VZ part of RMSh,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13318,645,ADHBA_Terminology_2016_All,DHBA:13199
GE part of RMSh,RMShg,GE part of RMSh,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13319,646,ADHBA_Terminology_2016_All,DHBA:13199
SZ part of RMSh,RMShs,SZ part of RMSh,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13320,647,ADHBA_Terminology_2016_All,DHBA:13199
callosal sling,CalS,callosal sling,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13077,648,ADHBA_Terminology_2016_All,DHBA:10506
dentatohippocampal transient cell zone,DHTC,dentatohippocampal transient cell zone,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13075,649,ADHBA_Terminology_2016_All,DHBA:10506
interpallidal transient cell zone,IPTC,interpallidal transient cell zone,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13074,650,ADHBA_Terminology_2016_All,DHBA:10506
olfactory peduncle,OlfP,olfactory peduncle,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13079,651,ADHBA_Terminology_2016_All,DHBA:10506
perifornical gray zone,PFG,perifornical gray zone,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13078,652,ADHBA_Terminology_2016_All,DHBA:10506
primordial plexiform layer,PPL,primordial plexiform layer,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10507,653,ADHBA_Terminology_2016_All,DHBA:10506
subcallosal gray zone,ScG,subcallosal gray zone,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13076,654,ADHBA_Terminology_2016_All,DHBA:10506
transient cell zone in external capsule,TCete,transient cell zone in external capsule,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:146034626,655,ADHBA_Terminology_2016_All,DHBA:10506
transient cell zone in extreme capsule,TCexc,transient cell zone in extreme capsule,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:13321,656,ADHBA_Terminology_2016_All,DHBA:10506
telencephalon,Tel,telencephalon,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10158,657,ADHBA_Terminology_2016_All,DHBA:10157
cerebral cortex,Cx,cerebral cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10159,658,ADHBA_Terminology_2016_All,DHBA:10158
neocortex (isocortex),NCx,neocortex (isocortex),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10160,659,ADHBA_Terminology_2016_All,DHBA:10159
frontal neocortex,FCx,frontal neocortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10161,660,ADHBA_Terminology_2016_All,DHBA:10160
prefrontal cortex,PFC,prefrontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10172,661,ADHBA_Terminology_2016_All,DHBA:10161
frontal polar cortex (area 10),A10,frontal polar cortex (area 10),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10190,662,ADHBA_Terminology_2016_All,DHBA:10172
medial subdivision of area 10,A10m,medial subdivision of area 10,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10191,663,ADHBA_Terminology_2016_All,DHBA:10190
layer I of area 10m,A10m1,layer I of area 10m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10895,664,ADHBA_Terminology_2016_All,DHBA:10191
layer II of area 10m,A10m2,layer II of area 10m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10896,665,ADHBA_Terminology_2016_All,DHBA:10191
layer III of area 10m,A10m3,layer III of area 10m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10897,666,ADHBA_Terminology_2016_All,DHBA:10191
layer IV of area 10m,A10m4,layer IV of area 10m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10898,667,ADHBA_Terminology_2016_All,DHBA:10191
layer V of area 10m,A10m5,layer V of area 10m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10899,668,ADHBA_Terminology_2016_All,DHBA:10191
layer VI of area 10m,A10m6,layer VI of area 10m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10900,669,ADHBA_Terminology_2016_All,DHBA:10191
lateral subdivision of area 10,A10l,lateral subdivision of area 10,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10192,670,ADHBA_Terminology_2016_All,DHBA:10190
layer I of area 10l,A10l1,layer I of area 10l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10901,671,ADHBA_Terminology_2016_All,DHBA:10192
layer II of area 10l,A10l2,layer II of area 10l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10902,672,ADHBA_Terminology_2016_All,DHBA:10192
layer III of area 10l,A10l3,layer III of area 10l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10903,673,ADHBA_Terminology_2016_All,DHBA:10192
layer IV of area 10l,A10l4,layer IV of area 10l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10904,674,ADHBA_Terminology_2016_All,DHBA:10192
layer V of area 10l,A10l5,layer V of area 10l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10905,675,ADHBA_Terminology_2016_All,DHBA:10192
layer VI of area 10l,A10l6,layer VI of area 10l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10906,676,ADHBA_Terminology_2016_All,DHBA:10192
orbital subdivision of area 10,A10o,orbital subdivision of area 10,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10193,677,ADHBA_Terminology_2016_All,DHBA:10190
layer I of area 10o,A10o1,layer I of area 10o,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10907,678,ADHBA_Terminology_2016_All,DHBA:10193
layer II of area 10o,A10o2,layer II of area 10o,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10908,679,ADHBA_Terminology_2016_All,DHBA:10193
layer III of area 10o,A10o3,layer III of area 10o,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10909,680,ADHBA_Terminology_2016_All,DHBA:10193
layer IV of area 10o,A10o4,layer IV of area 10o,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10910,681,ADHBA_Terminology_2016_All,DHBA:10193
layer V of area 10o,A10o5,layer V of area 10o,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10911,682,ADHBA_Terminology_2016_All,DHBA:10193
layer VI of area 10o,A10o6,layer VI of area 10o,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10912,683,ADHBA_Terminology_2016_All,DHBA:10193
dorsolateral prefrontal cortex,DFC,dorsolateral prefrontal cortex,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10173,684,ADHBA_Terminology_2016_All,DHBA:10172
caudal portion of DFC (area 8),A8,caudal portion of DFC (area 8),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10174,685,ADHBA_Terminology_2016_All,DHBA:10173
laterodorsal subdivision of area 8,A8ld,laterodorsal subdivision of area 8,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10175,686,ADHBA_Terminology_2016_All,DHBA:10174
layer I of area 8ld,A8ld1,layer I of area 8ld,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10821,687,ADHBA_Terminology_2016_All,DHBA:10175
layer II of area 8ld,A8ld2,layer II of area 8ld,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10822,688,ADHBA_Terminology_2016_All,DHBA:10175
layer III of area 8ld,A8ld3,layer III of area 8ld,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10823,689,ADHBA_Terminology_2016_All,DHBA:10175
layer IV of area 8ld,A8ld4,layer IV of area 8ld,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10824,690,ADHBA_Terminology_2016_All,DHBA:10175
layer V of area 8ld,A8ld5,layer V of area 8ld,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10825,691,ADHBA_Terminology_2016_All,DHBA:10175
layer VI of area 8ld,A8ld6,layer VI of area 8ld,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10826,692,ADHBA_Terminology_2016_All,DHBA:10175
lateroventral subdivision of area 8,A8lv,lateroventral subdivision of area 8,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10176,693,ADHBA_Terminology_2016_All,DHBA:10174
layer I of area 8lv,A8lv1,layer I of area 8lv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10827,694,ADHBA_Terminology_2016_All,DHBA:10176
layer II of area 8lv,A8lv2,layer II of area 8lv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10828,695,ADHBA_Terminology_2016_All,DHBA:10176
layer III of area 8lv,A8lv3,layer III of area 8lv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10829,696,ADHBA_Terminology_2016_All,DHBA:10176
layer IV of area 8lv,A8lv4,layer IV of area 8lv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10830,697,ADHBA_Terminology_2016_All,DHBA:10176
layer V of area 8lv,A8lv5,layer V of area 8lv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10831,698,ADHBA_Terminology_2016_All,DHBA:10176
layer VI of area 8lv,A8lv6,layer VI of area 8lv,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10832,699,ADHBA_Terminology_2016_All,DHBA:10176
medial subdivision of area 8,A8m,medial subdivision of area 8,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10177,700,ADHBA_Terminology_2016_All,DHBA:10174
layer I of area 8m,A8m1,layer I of area 8m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10833,701,ADHBA_Terminology_2016_All,DHBA:10177
layer II of area 8m,A8m2,layer II of area 8m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10834,702,ADHBA_Terminology_2016_All,DHBA:10177
layer III of area 8m,A8m3,layer III of area 8m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10835,703,ADHBA_Terminology_2016_All,DHBA:10177
layer IV of area 8m,A8m4,layer IV of area 8m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10836,704,ADHBA_Terminology_2016_All,DHBA:10177
layer V of area 8m,A8m5,layer V of area 8m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10837,705,ADHBA_Terminology_2016_All,DHBA:10177
layer VI of area 8m,A8m6,layer VI of area 8m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10838,706,ADHBA_Terminology_2016_All,DHBA:10177
rostrodorsal portion of DFC (area 9),A9,rostrodorsal portion of DFC (area 9),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10178,707,ADHBA_Terminology_2016_All,DHBA:10173
lateral subdivision of area 9,A9l,lateral subdivision of area 9,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10179,708,ADHBA_Terminology_2016_All,DHBA:10178
layer I of area 9l,A9l1,layer I of area 9l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10839,709,ADHBA_Terminology_2016_All,DHBA:10179
layer II of area 9l,A9l2,layer II of area 9l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10840,710,ADHBA_Terminology_2016_All,DHBA:10179
layer III of area 9l,A9l3,layer III of area 9l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10841,711,ADHBA_Terminology_2016_All,DHBA:10179
layer IV of area 9l,A9l4,layer IV of area 9l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10842,712,ADHBA_Terminology_2016_All,DHBA:10179
layer V of area 9l,A9l5,layer V of area 9l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10843,713,ADHBA_Terminology_2016_All,DHBA:10179
layer VI of area 9l,A9l6,layer VI of area 9l,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10844,714,ADHBA_Terminology_2016_All,DHBA:10179
medial subdivision of area 9,A9m,medial subdivision of area 9,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10180,715,ADHBA_Terminology_2016_All,DHBA:10178
layer I of area 9m,A9m1,layer I of area 9m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10845,716,ADHBA_Terminology_2016_All,DHBA:10180
layer II of area 9m,A9m2,layer II of area 9m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10846,717,ADHBA_Terminology_2016_All,DHBA:10180
layer III of area 9m,A9m3,layer III of area 9m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10847,718,ADHBA_Terminology_2016_All,DHBA:10180
layer IV of area 9m,A9m4,layer IV of area 9m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10848,719,ADHBA_Terminology_2016_All,DHBA:10180
layer V of area 9m,A9m5,layer V of area 9m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10849,720,ADHBA_Terminology_2016_All,DHBA:10180
layer VI of area 9m,A9m6,layer VI of area 9m,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10850,721,ADHBA_Terminology_2016_All,DHBA:10180
intermediate portion of DFC (area 9/46),A9/46,intermediate portion of DFC (area 9/46),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10181,722,ADHBA_Terminology_2016_All,DHBA:10173
dorsal subdivision of A9/46,A9/46d,dorsal subdivision of A9/46,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10182,723,ADHBA_Terminology_2016_All,DHBA:10181
layer I of area 9/46d,A9/46d1,layer I of area 9/46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10851,724,ADHBA_Terminology_2016_All,DHBA:10182
layer II of area 9/46d,A9/46d2,layer II of area 9/46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10852,725,ADHBA_Terminology_2016_All,DHBA:10182
layer III of area 9/46d,A9/46d3,layer III of area 9/46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10853,726,ADHBA_Terminology_2016_All,DHBA:10182
layer IV of area 9/46d,A9/46d4,layer IV of area 9/46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10854,727,ADHBA_Terminology_2016_All,DHBA:10182
layer V of area 9/46d,A9/46d5,layer V of area 9/46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10855,728,ADHBA_Terminology_2016_All,DHBA:10182
layer VI of area 9/46d,A9/46d6,layer VI of area 9/46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10856,729,ADHBA_Terminology_2016_All,DHBA:10182
ventral subdivision of A9/46,A9/46v,ventral subdivision of A9/46,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10183,730,ADHBA_Terminology_2016_All,DHBA:10181
layer I of area 9/46v,A9/46v1,layer I of area 9/46v,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10857,731,ADHBA_Terminology_2016_All,DHBA:10183
layer II of area 9/46v,A9/46v2,layer II of area 9/46v,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10858,732,ADHBA_Terminology_2016_All,DHBA:10183
layer III of area 9/46v,A9/46v3,layer III of area 9/46v,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10859,733,ADHBA_Terminology_2016_All,DHBA:10183
layer IV of area 9/46v,A9/46v4,layer IV of area 9/46v,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10860,734,ADHBA_Terminology_2016_All,DHBA:10183
layer V of area 9/46v,A9/46v5,layer V of area 9/46v,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10861,735,ADHBA_Terminology_2016_All,DHBA:10183
layer VI of area 9/46v,A9/46v6,layer VI of area 9/46v,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10862,736,ADHBA_Terminology_2016_All,DHBA:10183
rostroventral portion of DFC (area 46),A46,rostroventral portion of DFC (area 46),ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10184,737,ADHBA_Terminology_2016_All,DHBA:10173
dorsal subdivision of area 46,A46d,dorsal subdivision of area 46,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10863,738,ADHBA_Terminology_2016_All,DHBA:10184
layer I of area 46d,A46d1,layer I of area 46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10864,739,ADHBA_Terminology_2016_All,DHBA:10863
layer II of area 46d,A46d2,layer II of area 46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10865,740,ADHBA_Terminology_2016_All,DHBA:10863
layer III of area 46d,A46d3,layer III of area 46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10866,741,ADHBA_Terminology_2016_All,DHBA:10863
layer IV of area 46d,A46d4,layer IV of area 46d,ADHBA_Terminology_2016_All,ADHBA_Terminology_2016,DHBA:10867,742,ADHBA_Terminology_2016_All,DHBA:10863
